Month,Production,t,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11
1,164,1,1,0,0,0,0,0,0,0,0,0,0
2,148,2,0,1,0,0,0,0,0,0,0,0,0
3,152,3,0,0,1,0,0,0,0,0,0,0,0
4,144,4,0,0,0,1,0,0,0,0,0,0,0
5,155,5,0,0,0,0,1,0,0,0,0,0,0
6,125,6,0,0,0,0,0,1,0,0,0,0,0
7,153,7,0,0,0,0,0,0,1,0,0,0,0
8,146,8,0,0,0,0,0,0,0,1,0,0,0
9,138,9,0,0,0,0,0,0,0,0,1,0,0
10,190,10,0,0,0,0,0,0,0,0,0,1,0
11,192,11,0,0,0,0,0,0,0,0,0,0,1
12,192,12,0,0,0,0,0,0,0,0,0,0,0
13,147,13,1,0,0,0,0,0,0,0,0,0,0
14,133,14,0,1,0,0,0,0,0,0,0,0,0
15,163,15,0,0,1,0,0,0,0,0,0,0,0
16,150,16,0,0,0,1,0,0,0,0,0,0,0
17,129,17,0,0,0,0,1,0,0,0,0,0,0
18,131,18,0,0,0,0,0,1,0,0,0,0,0
19,145,19,0,0,0,0,0,0,1,0,0,0,0
20,137,20,0,0,0,0,0,0,0,1,0,0,0
21,138,21,0,0,0,0,0,0,0,0,1,0,0
22,168,22,0,0,0,0,0,0,0,0,0,1,0
23,176,23,0,0,0,0,0,0,0,0,0,0,1
24,188,24,0,0,0,0,0,0,0,0,0,0,0
25,139,25,1,0,0,0,0,0,0,0,0,0,0
26,143,26,0,1,0,0,0,0,0,0,0,0,0
27,150,27,0,0,1,0,0,0,0,0,0,0,0
28,154,28,0,0,0,1,0,0,0,0,0,0,0
29,137,29,0,0,0,0,1,0,0,0,0,0,0
30,129,30,0,0,0,0,0,1,0,0,0,0,0
31,128,31,0,0,0,0,0,0,1,0,0,0,0
32,140,32,0,0,0,0,0,0,0,1,0,0,0
33,143,33,0,0,0,0,0,0,0,0,1,0,0
34,151,34,0,0,0,0,0,0,0,0,0,1,0
35,177,35,0,0,0,0,0,0,0,0,0,0,1
36,184,36,0,0,0,0,0,0,0,0,0,0,0
37,151,37,1,0,0,0,0,0,0,0,0,0,0
38,134,38,0,1,0,0,0,0,0,0,0,0,0
39,164,39,0,0,1,0,0,0,0,0,0,0,0
40,126,40,0,0,0,1,0,0,0,0,0,0,0
41,131,41,0,0,0,0,1,0,0,0,0,0,0
42,125,42,0,0,0,0,0,1,0,0,0,0,0
43,127,43,0,0,0,0,0,0,1,0,0,0,0
44,143,44,0,0,0,0,0,0,0,1,0,0,0
45,143,45,0,0,0,0,0,0,0,0,1,0,0
46,160,46,0,0,0,0,0,0,0,0,0,1,0
47,190,47,0,0,0,0,0,0,0,0,0,0,1
48,182,48,0,0,0,0,0,0,0,0,0,0,0
49,138,49,1,0,0,0,0,0,0,0,0,0,0
50,136,50,0,1,0,0,0,0,0,0,0,0,0
51,152,51,0,0,1,0,0,0,0,0,0,0,0
52,127,52,0,0,0,1,0,0,0,0,0,0,0
53,151,53,0,0,0,0,1,0,0,0,0,0,0
54,130,54,0,0,0,0,0,1,0,0,0,0,0
55,119,55,0,0,0,0,0,0,1,0,0,0,0
56,153,56,0,0,0,0,0,0,0,1,0,0,0
